parentTconst,seasonNumber,episodeNumber,averageRating,numVotes
tt0080231,1.0,1.0,6.4,1023.0
tt0046593,31.0,4.0,6.6,550.0
tt0046593,30.0,16.0,5.4,206.0
tt0364151,2.0,2.0,7.9,557.0
tt0046593,30.0,10.0,7.1,90.0
tt0046593,30.0,5.0,7.2,246.0
tt0046593,30.0,1.0,6.4,153.0
tt0046593,31.0,2.0,6.3,99.0
tt0046593,30.0,9.0,6.0,350.0
tt0364151,2.0,1.0,6.1,119.0
tt0046593,31.0,7.0,6.3,176.0
tt0046593,31.0,3.0,6.8,224.0
tt0046593,30.0,11.0,6.5,2005.0
tt0364151,2.0,4.0,,
tt0046593,30.0,7.0,6.3,242.0
tt0806910,1.0,181.0,5.9,28.0
tt0046593,31.0,9.0,6.3,139.0
tt0806910,1.0,182.0,4.8,36.0
tt0806910,1.0,180.0,7.0,176.0
tt0806910,1.0,188.0,7.1,162.0
tt0806910,1.0,179.0,6.3,74.0
tt0806910,1.0,184.0,6.9,199.0
tt0806910,1.0,185.0,5.9,72.0
tt0806910,1.0,186.0,6.5,32.0
tt0046593,31.0,8.0,6.6,205.0
tt0046593,30.0,13.0,6.2,380.0
tt0046593,31.0,19.0,4.9,205.0
tt0046593,31.0,23.0,6.5,889.0
tt0046593,31.0,22.0,5.9,108.0
tt0046593,31.0,15.0,6.5,217.0
tt0159876,14.0,18.0,8.0,281.0
tt0046593,31.0,17.0,7.4,68.0
tt0159876,,,4.8,290.0
tt0094416,1.0,2.0,7.5,695.0
tt0046593,32.0,3.0,4.8,165.0
tt0092455,1.0,1.0,6.9,7962.0
tt0806910,1.0,191.0,5.7,52.0
tt0806910,1.0,199.0,5.8,30.0
tt0806910,1.0,197.0,6.8,55.0
tt0806910,1.0,193.0,6.0,60.0
tt0806910,1.0,194.0,6.4,142.0
tt0806910,1.0,192.0,6.5,98.0
tt0806910,1.0,198.0,6.8,95.0
tt0806910,1.0,196.0,6.7,46.0
tt0364151,2.0,9.0,6.6,240.0
tt0046593,31.0,16.0,5.7,141.0
tt0046593,31.0,20.0,6.1,172.0
tt0159876,,,7.9,121.0
tt0046593,33.0,5.0,5.9,110.0
tt0159876,15.0,9.0,7.7,532.0
tt0046593,33.0,4.0,8.0,60.0
tt0092337,1.0,1.0,8.5,8108.0
tt0092337,1.0,10.0,8.3,3969.0
tt0092337,1.0,2.0,7.7,6062.0
tt0092337,1.0,3.0,7.4,5056.0
tt0092337,1.0,4.0,8.2,4979.0
tt0092337,1.0,5.0,8.4,5143.0
tt0092337,1.0,6.0,8.6,4822.0
tt0092337,1.0,7.0,7.8,4159.0
tt0092337,1.0,8.0,7.5,3938.0
tt0092337,1.0,9.0,8.0,3875.0
tt0046593,32.0,11.0,6.7,681.0
tt0094416,2.0,3.0,7.2,28.0
tt0094999,1.0,1.0,5.8,93.0
tt0046593,32.0,22.0,5.9,156.0
tt0046593,32.0,13.0,6.1,269.0
tt0806910,1.0,206.0,5.6,40.0
tt0806910,1.0,209.0,6.5,146.0
tt0806910,1.0,211.0,5.3,23.0
tt0806910,1.0,205.0,7.0,157.0
tt0806910,1.0,214.0,7.3,242.0
tt0806910,1.0,208.0,6.8,81.0
tt0806910,1.0,201.0,5.8,65.0
tt0806910,1.0,207.0,6.0,71.0
tt0806910,1.0,212.0,5.4,34.0
tt0094416,1.0,10.0,7.4,31.0
tt0806910,1.0,221.0,4.7,36.0
tt0364151,3.0,7.0,7.3,93.0
tt6677224,1.0,1.0,7.0,1009.0
tt0159876,,,8.2,206.0
tt0046593,34.0,6.0,7.8,636.0
tt0096684,1.0,1.0,7.8,5573.0
tt0098904,1.0,1.0,7.3,7265.0
tt0806910,1.0,222.0,6.4,129.0
tt0806910,1.0,217.0,6.7,159.0
tt0806910,1.0,224.0,6.6,89.0
tt0806910,1.0,226.0,7.2,80.0
tt0806910,1.0,225.0,6.4,139.0
tt0806910,1.0,215.0,5.5,36.0
tt0046593,34.0,13.0,6.4,275.0
tt0098798,1.0,0.0,6.6,1552.0
tt0159876,,,7.4,237.0
tt0094525,3.0,1.0,7.9,2618.0
tt0806910,1.0,241.0,5.5,31.0
tt0806910,1.0,237.0,6.2,56.0
tt0806910,1.0,229.0,7.7,44.0
tt0806910,1.0,227.0,6.1,55.0
tt0806910,1.0,231.0,7.2,87.0
tt0806910,1.0,236.0,6.0,29.0
tt0806910,1.0,228.0,6.1,37.0
tt0806910,1.0,233.0,6.2,63.0
tt0364151,6.0,10.0,7.1,150.0
tt13031912,1.0,1.0,7.4,2672.0
tt0159876,19.0,4.0,8.5,61.0
tt0159876,20.0,17.0,7.7,538.0
tt0098765,2.0,1.0,7.4,1418.0
tt0159876,20.0,3.0,6.6,112.0
tt0806910,1.0,252.0,7.0,249.0
tt0806910,1.0,251.0,6.0,69.0
tt0806910,1.0,239.0,5.4,66.0
tt0806910,1.0,250.0,7.0,154.0
tt0806910,1.0,234.0,6.2,143.0
tt0806910,1.0,247.0,5.8,32.0
tt0806910,1.0,246.0,6.6,76.0
tt0806910,1.0,249.0,6.7,101.0
tt0806910,1.0,240.0,5.2,58.0
tt0806910,1.0,243.0,6.6,55.0
tt13031912,1.0,2.0,7.0,1405.0
tt0806910,1.0,254.0,5.7,32.0
tt0094416,5.0,3.0,8.2,508.0
tt0094416,4.0,8.0,7.9,32.0
tt0098765,3.0,2.0,6.6,1296.0
tt0806910,1.0,267.0,5.5,33.0
tt0098765,3.0,1.0,6.6,1533.0
tt0806910,1.0,266.0,6.4,67.0
tt0806910,1.0,256.0,7.2,76.0
tt0806910,1.0,253.0,6.1,71.0
tt0806910,1.0,257.0,6.7,71.0
tt0806910,1.0,274.0,6.5,63.0
tt0806910,1.0,276.0,5.6,35.0
tt0806910,1.0,262.0,5.8,49.0
tt0806910,1.0,260.0,6.2,76.0
tt0806910,1.0,259.0,5.4,49.0
tt0806910,1.0,263.0,6.3,64.0
tt13031912,1.0,3.0,7.2,1197.0
tt0105946,1.0,0.0,6.5,10094.0
tt0806910,1.0,283.0,5.4,62.0
tt0364151,12.0,1.0,7.1,287.0
tt0094416,6.0,7.0,7.6,158.0
tt0106126,1.0,0.0,6.8,1324.0
tt12749392,1.0,2.0,7.8,3485.0
tt12749392,1.0,1.0,7.6,4589.0
tt0094416,5.0,8.0,7.5,121.0
tt0106145,1.0,1.0,7.6,5033.0
tt0159876,21.0,10.0,7.1,283.0
tt0806910,1.0,279.0,6.0,65.0
tt0806910,1.0,269.0,6.1,48.0
tt0806910,1.0,287.0,5.8,46.0
tt0806910,1.0,282.0,6.4,74.0
tt0806910,1.0,278.0,5.3,74.0
tt0806910,1.0,284.0,5.5,44.0
tt0806910,1.0,272.0,6.5,59.0
tt0806910,1.0,270.0,5.8,35.0
tt13031912,1.0,4.0,6.6,995.0
tt0094416,6.0,9.0,8.1,88.0
tt0108756,1.0,0.0,8.3,1741.0
tt0094525,6.0,1.0,8.1,2911.0
